                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5212,                  2.116,                 1.9063,                0.76692,                0.14256,                0.17708,                 0.1028,                 1.6478,                 2.4355,                 1.9878,             0.00013073,             0.00013073,             0.00013073
                      1,                 1.4931,                 2.0488,                 1.8244,                0.86746,                 0.1235,                0.17957,                0.10226,                 1.5902,                 2.3887,                 1.8925,             0.00026649,             0.00026649,             0.00026649
                      2,                 1.3742,                 1.8537,                  1.725,                0.82058,                0.23406,                0.25782,                0.15251,                 1.3882,                 2.2589,                 1.7857,              0.0003995,              0.0003995,              0.0003995
                      3,                 1.2204,                 1.6531,                 1.5881,                0.80099,                0.25455,                 0.2963,                0.18699,                  1.291,                 2.1858,                 1.6715,             0.00052977,             0.00052977,             0.00052977
                      4,                 1.2014,                  1.615,                 1.5598,                 0.7489,                0.22129,                0.25515,                0.15432,                 1.3919,                 2.2564,                 1.7174,             0.00065731,             0.00065731,             0.00065731
                      5,                 1.1255,                 1.4591,                 1.4799,                0.76999,                0.28107,                0.27896,                0.18075,                 1.1784,                 1.8553,                 1.5791,             0.00073093,             0.00073093,             0.00073093
                      6,                 1.0971,                 1.3601,                 1.4511,                0.74366,                 0.3096,                0.29113,                0.19598,                 1.1934,                 1.8453,                 1.5431,             0.00073093,             0.00073093,             0.00073093
                      7,                  1.058,                 1.2792,                 1.4142,                0.78747,                0.28062,                0.30899,                 0.2024,                 1.2003,                 1.8594,                 1.4996,             0.00072332,             0.00072332,             0.00072332
                      8,                0.99075,                  1.197,                 1.3658,                0.81624,                 0.3605,                 0.3844,                 0.2493,                 1.1545,                 1.6153,                 1.5282,             0.00071571,             0.00071571,             0.00071571
                      9,                0.98663,                 1.1186,                 1.3595,                0.82252,                0.37684,                0.38965,                  0.264,                 1.1949,                 1.6489,                 1.5267,              0.0007081,              0.0007081,              0.0007081
                     10,                0.98308,                  1.072,                 1.3592,                  0.867,                0.35392,                0.41687,                 0.2981,                 1.0941,                 1.5142,                 1.4422,             0.00070048,             0.00070048,             0.00070048
                     11,                0.94666,                 1.0371,                 1.3215,                0.89742,                0.31772,                0.37469,                0.25231,                 1.0025,                 1.6302,                 1.3758,             0.00069287,             0.00069287,             0.00069287
                     12,                0.90635,                0.98877,                 1.2906,                0.91661,                0.36614,                0.42619,                0.31099,                0.97186,                 1.4682,                 1.3311,             0.00068526,             0.00068526,             0.00068526
                     13,                 0.8897,                0.96082,                 1.2951,                0.89538,                0.31762,                0.40573,                0.28104,                 1.0036,                 1.4311,                 1.3867,             0.00067764,             0.00067764,             0.00067764
                     14,                0.87179,                0.92516,                 1.2755,                0.66957,                0.38286,                0.39515,                0.27102,                 0.9966,                  1.417,                 1.3453,             0.00067003,             0.00067003,             0.00067003
                     15,                0.85893,                0.86382,                 1.2517,                0.74592,                0.37827,                0.43212,                0.31455,                0.95187,                 1.2474,                  1.334,             0.00066242,             0.00066242,             0.00066242
                     16,                0.85587,                0.86362,                 1.2406,                0.73979,                0.36974,                0.40832,                0.31142,                0.91122,                 1.3268,                 1.2843,              0.0006548,              0.0006548,              0.0006548
                     17,                0.83546,                0.83917,                 1.2346,                0.91359,                0.34223,                0.41769,                 0.3026,                0.93176,                 1.2558,                 1.3111,             0.00064719,             0.00064719,             0.00064719
                     18,                0.81356,                 0.8047,                 1.2238,                0.76429,                0.36984,                 0.4382,                0.33233,                 0.8732,                 1.2883,                  1.252,             0.00063958,             0.00063958,             0.00063958
                     19,                0.80712,                 0.8145,                 1.2167,                 0.7001,                0.36027,                0.39651,                0.28293,                0.99199,                 1.3615,                  1.362,             0.00063196,             0.00063196,             0.00063196
                     20,                0.77276,                 0.7621,                 1.1838,                0.76133,                0.37172,                0.42003,                0.30908,                0.91791,                 1.2405,                 1.2854,             0.00062435,             0.00062435,             0.00062435
                     21,                0.74644,                0.73623,                 1.1727,                0.74396,                0.39029,                0.44524,                0.33179,                0.92089,                  1.217,                 1.2605,             0.00061674,             0.00061674,             0.00061674
                     22,                0.77083,                 0.7454,                 1.1931,                 0.7615,                0.35971,                0.44459,                0.30281,                0.98556,                 1.2396,                  1.359,             0.00060912,             0.00060912,             0.00060912
                     23,                0.77854,                0.73371,                 1.1863,                0.76271,                 0.3742,                 0.4666,                0.36025,                 0.8682,                 1.1989,                 1.2223,             0.00060151,             0.00060151,             0.00060151
                     24,                0.79523,                0.75256,                 1.1903,                0.75536,                0.39324,                0.43609,                0.32988,                0.86432,                 1.1449,                 1.2464,              0.0005939,              0.0005939,              0.0005939
                     25,                0.73886,                0.69923,                 1.1466,                0.76518,                0.38519,                0.46597,                0.35837,                0.84126,                  1.163,                 1.2233,             0.00058629,             0.00058629,             0.00058629
                     26,                 0.7297,                0.68311,                 1.1486,                0.77688,                0.36236,                0.43264,                0.31328,                0.88518,                 1.1934,                 1.2611,             0.00057867,             0.00057867,             0.00057867
                     27,                0.73029,                0.66019,                 1.1589,                0.74104,                0.39672,                 0.4689,                0.35712,                0.86025,                 1.1483,                 1.2163,             0.00057106,             0.00057106,             0.00057106
                     28,                  0.733,                0.66231,                 1.1438,                0.75825,                0.40873,                0.47668,                0.37241,                0.84259,                 1.1583,                  1.206,             0.00056345,             0.00056345,             0.00056345
                     29,                 0.7107,                0.63654,                 1.1398,                0.67951,                0.43239,                0.43678,                0.33884,                0.84077,                 1.1516,                 1.1997,             0.00055583,             0.00055583,             0.00055583
